,name,rmsd,time
0,5sfs,0.4679924785720387,6.723142862319946
1,5sfy,0.5120875108318889,5.971981763839722
2,5sfb,0.5893797344909064,8.686954736709595
3,5sf6,0.39880376843039744,7.91329026222229
4,5sfi,0.37505587583718764,7.115559101104736
5,5sfw,0.5096521790397842,7.139014482498169
6,5sfd,0.38541333189187954,7.085667371749878
7,5seu,0.41934711709440076,6.6707611083984375
8,5sef,0.4327624992995574,7.182146310806274
9,5seq,0.5294473386466304,6.6457908153533936
10,5sff,0.3041735265120379,6.8349831104278564
11,5sft,0.20217753027970248,6.5823822021484375
12,5sej,0.6359696383236906,5.916395902633667
13,5seb,0.43025216782332065,6.893708229064941
14,5sei,0.7487828001090374,6.092180252075195
15,5sfh,0.3582847168570452,6.549683094024658
16,5sf1,0.5295083883503013,6.229032754898071
17,5sfm,0.7624817157643848,8.068023443222046
18,5sey,0.4488532050045509,7.5993499755859375
19,5sf8,0.4527457626397353,9.860438108444214
20,5sep,0.3531162957629308,7.495218515396118
21,5sem,0.44678864570238497,7.790695667266846
22,5sf5,0.43451959679627766,6.567925691604614
23,5se9,0.6380790819326394,6.468634128570557
24,5sez,1.161310778260369,6.84989595413208
25,5se8,0.6018633875235969,8.148881912231445
26,5sfa,,9.09977388381958
27,5se6,0.5514431669719014,6.501330614089966
28,5sec,0.16086307945993478,7.889139890670776
29,5sed,,9.563359260559082
30,5sfo,,8.671676397323608
31,5se3,1.315146506819678,5.90697455406189
32,5sev,,6.509143114089966
33,5sf9,,6.517510414123535
34,5sfn,0.8900002885975395,6.992677450180054
35,5sdx,,8.832767486572266
36,5se2,0.46528093395281106,6.1077117919921875
37,5sek,0.2584514762968081,6.470353126525879
38,5sdu,0.25123733492763134,7.100865364074707
39,5sfv,1.1371402622368094,6.553925514221191
40,5sfq,1.2116550129540444,5.759441614151001
41,5ser,1.518918262257504,8.554034948348999
42,5sf7,0.4934073250368294,6.590555906295776
43,5sf3,11.995666512612718,7.787581205368042
44,5sdv,10.155193705641015,7.740345001220703
45,5sfr,0.4949992314313709,9.012790441513062
46,5seh,1.1857272817417446,7.986898422241211
47,5sfe,0.36261212243019897,7.28340482711792
48,5se4,0.435223566219239,7.312676191329956
49,5sfc,,10.830512762069702
50,5sfj,11.168396438137918,10.1960289478302
51,5sfl,10.691612693814973,8.642351865768433
52,5se5,8.71570509488673,6.2315778732299805
53,5sfx,1.2107413039126076,7.467816352844238
54,5ses,1.6534003232732237,8.46506643295288
55,5seg,0.42798117330775426,9.410274267196655
56,5se7,1.2873394912246985,7.085088491439819
57,5sfg,10.365698114718752,8.719528913497925
58,5sdz,6.751494390764863,10.000820636749268
59,5sfp,0.9121409884442204,6.0886242389678955
60,5sex,1.1866486019385685,7.16285252571106
61,5sf4,8.733141540084123,9.745029211044312
62,5sen,0.4915172082440241,7.015240669250488
63,5sea,8.268937339021663,9.23701786994934
64,5se0,8.79565389145013,10.78989291191101
65,5sfu,9.316934857039225,10.441390991210938
66,5sf0,0.7460204093413563,6.721616268157959
67,5sel,1.405269263508941,7.242713928222656
68,5sf2,8.940862955110596,6.8612282276153564
69,5set,9.055574372300084,7.819326877593994
70,5sew,8.38825143392531,9.136846780776978
71,5sdy,8.272039448612048,9.862015008926392
72,5se1,8.108864270393644,7.499955654144287
73,5see,8.248293726886791,6.951602220535278
74,5sdw,1.0640223816352217,6.7447521686553955
75,5sfk,8.604906515511347,7.001060724258423
76,5seo,0.8080957166078783,6.838227033615112
