,name,rmsd,time
0,5sfs,0.46800833325914193,7.413852691650391
1,5sfy,8.969795511070286,6.075337648391724
2,5sfb,0.5896037713098995,8.456579685211182
3,5sf6,0.39886524219160996,7.821133852005005
4,5sfi,0.37499443995878107,7.140021085739136
5,5sfw,0.541660321234627,7.127486705780029
6,5sfd,0.39078443725409573,7.022917985916138
7,5seu,0.42245431796731664,6.960714817047119
8,5sef,0.4327624992995574,7.0150415897369385
9,5seq,0.5294336487228591,7.3156821727752686
10,5sff,0.30381709388785516,6.593719244003296
11,5sft,0.20217753027970248,6.2675135135650635
12,5sej,0.6200343314477944,6.247386693954468
13,5seb,0.4700746691572879,6.837040424346924
14,5sei,0.7464003611537411,5.77321457862854
15,5sfh,0.35883351060531266,6.760854244232178
16,5sf1,0.5311049139573363,7.069627285003662
17,5sfm,0.7468049557113289,7.919794082641602
18,5sey,0.4650625760506398,7.443764686584473
19,5sf8,0.4523537810555962,9.803418397903442
20,5sep,0.35179206926819706,6.970042705535889
21,5sem,0.4467892052507214,7.204227685928345
22,5sf5,0.4302642443894211,7.070773601531982
23,5se9,0.6684438965238598,7.200151681900024
24,5sez,1.173561413122624,6.902055263519287
25,5se8,0.5433697597972016,7.48339056968689
26,5sfa,,8.437194585800171
27,5se6,0.5436042884304725,6.539712429046631
28,5sec,0.16457793594525338,7.486504316329956
29,5sed,,8.653233766555786
30,5sfo,,9.09977650642395
31,5se3,1.314983521721851,6.3815696239471436
32,5sev,,7.480341196060181
33,5sf9,,6.555447101593018
34,5sfn,0.90768219413821,7.278297185897827
35,5sdx,,7.8455891609191895
36,5se2,0.4611469189242544,6.382278680801392
37,5sek,0.2694528931000731,6.692208290100098
38,5sdu,0.25084027709956114,6.677987813949585
39,5sfv,1.167715537277808,6.4285619258880615
40,5sfq,1.2079801855783892,6.549006223678589
41,5ser,1.5282657735211274,8.92011570930481
42,5sf7,0.4896554180237358,6.901483058929443
43,5sf3,6.147934457518183,8.692537784576416
44,5sdv,6.092883828746948,8.149000406265259
45,5sfr,0.5126414562314087,8.806936979293823
46,5seh,4.622787718826523,8.367671728134155
47,5sfe,0.36365657517315275,6.829735279083252
48,5se4,0.43541165366598533,7.2053163051605225
49,5sfc,,9.498372077941895
50,5sfj,6.198054411952949,9.154749631881714
51,5sfl,6.298451382585078,7.802757978439331
52,5se5,5.591519712398226,6.277533531188965
53,5sfx,4.422813610539272,7.352862119674683
54,5ses,1.6178520602947601,8.542563915252686
55,5seg,0.4256492507991558,8.717362642288208
56,5se7,1.2872598930803882,7.221559524536133
57,5sfg,0.9966889049376474,8.223270654678345
58,5sdz,6.905336035376598,9.179090738296509
59,5sfp,0.9120289681802873,6.393442392349243
60,5sex,1.186515013346461,7.469946384429932
61,5sf4,12.929274431934909,9.761734962463379
62,5sen,0.49252347422906223,7.7849345207214355
63,5sea,13.027349016204331,7.683708667755127
64,5se0,3.8141634130983673,8.923896312713623
65,5sfu,7.750300685638751,8.74000334739685
66,5sf0,0.8258296837353695,6.588430166244507
67,5sel,1.4045679153707342,7.052837133407593
68,5sf2,2.8275191775318427,7.495814085006714
69,5set,1.0110811552890528,7.284456729888916
70,5sew,2.8159291128773116,8.888335466384888
71,5sdy,2.1573182967131515,8.510444164276123
72,5se1,5.355307425567026,7.724685907363892
73,5see,5.700835262631843,7.606896162033081
74,5sdw,1.0645154771230347,7.007197141647339
75,5sfk,7.897117806145349,7.509411334991455
76,5seo,0.7949427898911973,5.906583309173584
